dataset,seed,b,contraction,num_sets,universe,elements,baseline_bits,ceb_bits,baseline_bpe,ceb_bpe,H_bpe,L_bpe,saving_pct,baseline_total_bpe,ceb_total_bpe,total_saving_pct,ceb_build_ms,base_build_ms,max_depth,mean_depth,ceb_retrieve_us,ceb_rank_us,base_retrieve_us,base_rank_us,all_ok,num_ret,num_rank
nested,101,32,1,64,480,9444,23249,12653,2.4618,1.3398,2.0754,1.0763,45.5762,12.9573,11.4592,11.5618,4.3450,1.0210,6,2.8438,0.8015,1.9355,0.6185,1.5250,1,2000,2000
nested,101,64,0,64,480,9444,22680,7321,2.4015,0.7752,2.0754,0.2615,67.7205,12.6521,10.9968,13.0827,4.0270,1.0980,63,31.5000,8.4250,20.2285,0.7875,1.4995,1,2000,2000
nested,101,64,1,64,480,9444,22680,13337,2.4015,1.4122,2.0754,1.0763,41.1949,12.6521,11.6677,7.7800,4.3320,1.0900,6,2.8438,0.8285,3.0180,0.7240,1.4290,1,2000,2000
nested,1337,4,0,64,480,9355,32064,9531,3.4275,1.0188,2.0047,0.2638,70.2751,15.7626,10.9226,30.7055,3.8550,0.8310,63,31.5000,8.2315,9.4585,0.7300,0.8595,1,2000,2000
nested,1337,4,1,64,480,9355,32064,15570,3.4275,1.6644,2.0047,1.0156,51.4409,15.7626,12.1309,23.0396,4.1460,0.8240,6,2.9375,0.7485,1.1415,0.6810,0.7460,1,2000,2000
nested,1337,8,0,64,480,9355,27914,7534,2.9839,0.8053,2.0047,0.2638,73.0100,13.7091,10.3545,24.4704,3.7970,1.5330,63,31.5000,7.9745,9.9100,0.6260,0.7880,1,2000,2000
nested,1337,8,1,64,480,9355,27914,14102,2.9839,1.5074,2.0047,1.0156,49.4805,13.7091,11.5694,15.6079,4.1230,0.8330,6,2.9375,0.7500,1.2585,0.7750,0.7900,1,2000,2000
nested,1337,16,0,64,480,9355,25226,6423,2.6965,0.6866,2.0047,0.2638,74.5382,13.6859,10.3064,24.6938,3.7950,0.9170,63,31.5000,7.7365,11.8590,0.6725,1.3790,1,2000,2000
nested,1337,16,1,64,480,9355,25226,12852,2.6965,1.3738,2.0047,1.0156,49.0526,13.6859,11.6448,14.9142,4.0750,0.9380,6,2.9375,0.8245,1.5705,0.6835,0.9105,1,2000,2000
nested,1337,32,0,64,480,9355,22833,6254,2.4407,0.6685,2.0047,0.2638,72.6098,12.9389,10.5472,18.4843,4.6500,1.0020,63,31.5000,8.0980,14.7525,0.6715,1.0500,1,2000,2000
nested,1337,32,1,64,480,9355,22833,12288,2.4407,1.3135,2.0047,1.0156,46.1832,12.9389,11.4761,11.3051,4.1470,0.9710,6,2.9375,0.7625,1.9940,0.8515,1.0430,1,2000,2000
nested,1337,64,0,64,480,9355,22129,7305,2.3655,0.7809,2.0047,0.2638,66.9890,12.6171,11.0257,12.6134,4.7000,1.5910,63,31.5000,9.1430,21.4020,0.6505,1.4780,1,2000,2000
nested,1337,64,1,64,480,9355,22129,13075,2.3655,1.3976,2.0047,1.0156,40.9146,12.6171,11.6757,7.4615,4.1840,1.0900,6,2.9375,0.9440,2.8930,0.6170,1.4540,1,2000,2000
nested,2024,4,0,64,480,10224,32516,10157,3.1804,0.9934,1.9370,0.2448,68.7631,15.2555,10.9129,28.4660,4.0340,0.8230,63,31.5000,8.3305,9.8245,0.6440,0.7730,1,2000,2000
nested,2024,4,1,64,480,10224,32516,17040,3.1804,1.6667,1.9370,1.0418,47.5950,15.2555,12.3935,18.7604,4.2260,0.8800,6,2.7656,0.8965,1.1155,0.9025,0.8355,1,2000,2000
nested,2024,8,0,64,480,10224,28494,7919,2.7870,0.7746,1.9370,0.2448,72.2082,13.3788,10.3247,22.8278,4.1390,0.8550,63,31.5000,8.4910,10.4470,0.6875,0.8275,1,2000,2000
nested,2024,8,1,64,480,10224,28494,15450,2.7870,1.5112,1.9370,1.0418,45.7781,13.3788,11.5550,13.6323,4.7570,0.8870,6,2.7656,0.7890,1.3120,0.7715,0.9320,1,2000,2000
